,q2,q2_ans_best,res
0,近期有哪些信用卡优惠活动? ,最近有什么信用卡优惠活动,1
1,近期有哪些信用卡优惠活动? ,新疆近期有什么信用卡信用卡促销活动或用卡优惠,0
2,近期有哪些信用卡优惠活动? ,广东近期有什么信用卡信用卡促销活动或用卡优惠,0
3,近期有哪些信用卡优惠活动? ,甘肃近期有什么信用卡信用卡促销活动或用卡优惠,0
4,近期有哪些信用卡优惠活动? ,大连近期有什么信用卡信用卡促销活动或用卡优惠,0
5,近期有哪些信用卡优惠活动? ,重庆近期有什么信用卡促销活动或用卡优惠,0
6,近期有哪些信用卡优惠活动? ,浙江近期有什么信用卡促销活动或用卡优惠,0
7,近期有哪些信用卡优惠活动? ,云南近期有什么信用卡促销活动或用卡优惠,0
8,近期有哪些信用卡优惠活动? ,西藏近期有什么信用卡促销活动或用卡优惠,0
9,近期有哪些信用卡优惠活动? ,天津近期有什么信用卡促销活动或用卡优惠,0
10,近期有哪些信用卡优惠活动? ,苏州近期有什么信用卡促销活动或用卡优惠,0
11,近期有哪些信用卡优惠活动? ,四川近期有什么信用卡促销活动或用卡优惠,0
12,近期有哪些信用卡优惠活动? ,深圳近期有什么信用卡促销活动或用卡优惠,0
13,近期有哪些信用卡优惠活动? ,上海近期有什么信用卡促销活动或用卡优惠,0
14,近期有哪些信用卡优惠活动? ,陕西近期有什么信用卡促销活动或用卡优惠,0
15,近期有哪些信用卡优惠活动? ,山西近期有什么信用卡促销活动或用卡优惠,0
16,近期有哪些信用卡优惠活动? ,山东近期有什么信用卡促销活动或用卡优惠,0
17,近期有哪些信用卡优惠活动? ,厦门近期有什么信用卡促销活动或用卡优惠,0
18,近期有哪些信用卡优惠活动? ,青海近期有什么信用卡促销活动或用卡优惠,0
19,近期有哪些信用卡优惠活动? ,青岛近期有什么信用卡促销活动或用卡优惠,0
20,银行的信用卡最近有什么优惠活动?,最近有什么信用卡优惠活动,1
21,银行的信用卡最近有什么优惠活动?,新疆近期有什么信用卡信用卡促销活动或用卡优惠,0
22,银行的信用卡最近有什么优惠活动?,广东近期有什么信用卡信用卡促销活动或用卡优惠,0
23,银行的信用卡最近有什么优惠活动?,甘肃近期有什么信用卡信用卡促销活动或用卡优惠,0
24,银行的信用卡最近有什么优惠活动?,大连近期有什么信用卡信用卡促销活动或用卡优惠,0
